owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,years_in_business,RATE_ID_FOR_years_in_business,fsr,location,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
609.0,0,150000.0,100.0,4.95,0,4.0,3,0.0,0,0.0,0,0,91.5,0,150277.01,0,61899.5,0,0.41,0,0.0,0,0.0,0,0.0,0,0.0,0,150277.01,2,609.0,0,150000.0,100.0,4618.0,1
703.0,0,150000.0,100.0,26.58,0,73.0,3,0.0,0,0.0,0,0,10.2,3,145621.8,0,29204.182,0,0.2,0,0.0,0,0.0,0,0.0,0,1.0,0,145621.8,2,703.0,0,150000.0,100.0,1362.0,1
661.0,0,150000.0,100.0,16.49,0,88.0,3,0.0,0,0.0,0,0,9.75,3,767131.5,0,362456.5,0,0.47,0,0.0,0,0.0,0,0.0,0,1.0,0,767131.5,1,661.0,0,150000.0,100.0,4222.0,1
641.0548712206047,0,116921.12676056338,25.0,1.33,1,12.0,1,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,116245.62427071178,0.0,4769.0,1
600.0,0,150000.0,100.0,11.37,0,75.0,3,0.0,0,0.0,0,1,81.222222222222,0,135836.44444444,0,16430.172222222,0,0.12,0,0.0,0,0.0,0,0.0,0,1.0,0,135836.44444444,2,600.0,0,150000.0,100.0,88.0,1
561.0,1,100000.0,50.0,5.88,0,74.0,1,0.0,0,0.0,0,0,64.0,0,23972.0,0,1325.3333333333,0,0.06,0,0.0,0,0.0,0,0.0,0,1.0,0,23972.0,2,4781.0,4,116245.62427071178,100.0,5641.0,2
537.0,2,35000.0,100.0,9.83,0,17.0,3,0.0,0,0.0,0,0,32.75,0,65687.0,0,10049.5,0,0.15,0,0.0,0,0.0,0,0.0,0,1.0,0,65687.0,2,537.0,2,35000.0,100.0,2227.0,2
616.0,0,150000.0,100.0,9.24,0,91.0,1,0.0,0,0.0,0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,616.0,0,150000.0,100.0,6333.0,3
677.0,0,150000.0,50.0,0.99,2,6.0,3,0.0,0,0.0,0,0,3.3333333333333,2,267773.66666667,0,379791.66666667,0,1.42,0,0.0,0,0.0,0,0.0,0,1.0,0,267773.66666667,2,665.0,0,150000.0,100.0,6518.0,0
624.0,0,150000.0,100.0,6.78,0,80.0,3,0.0,0,0.0,0,0,34.5,0,40408.0775,0,2808.0,0,0.07,0,0.0,0,0.0,0,0.0,0,1.0,0,40408.0775,2,624.0,0,150000.0,100.0,2059.0,1
500.0,2,35000.0,100.0,7.36,0,1.0,1,0.0,0,0.0,0,2,10.5,3,70921.99,0,9731.49,0,0.14,0,0.0,0,0.0,0,0.0,0,0.0,0,70921.99,2,500.0,2,35000.0,100.0,2966.0,0
509.0,2,35000.0,100.0,11.56,0,27.0,3,0.0,0,0.0,0,0,9.75,3,192711.555,0,21172.75,0,0.11,0,0.0,0,0.0,0,0.0,0,1.0,0,192711.555,2,509.0,2,35000.0,100.0,3750.0,2
561.0,1,100000.0,50.0,5.88,0,74.0,1,0.0,0,0.0,0,0,64.0,0,23972.0,0,1325.3333333333,0,0.06,0,0.0,0,0.0,0,0.0,0,1.0,0,23972.0,2,530.0,2,35000.0,100.0,5641.0,2
639.0,0,150000.0,100.0,18.91,0,6.0,3,0.0,0,0.0,0,0,42.0,0,53112.03,0,7437.6666666667,0,0.14,0,0.0,0,0.0,0,0.0,0,1.0,0,53112.03,2,639.0,0,150000.0,100.0,4321.0,1
498.0,3,0.0,100.0,15.99,0,54.0,3,0.0,0,0.0,0,0,27.25,0,41224.25,0,9573.08,0,0.23,0,0.0,0,0.0,0,0.0,0,0.0,0,41224.25,1,498.0,3,0.0,100.0,3876.0,2
650.0,0,150000.0,100.0,31.55,0,75.0,3,0.0,0,0.0,0,0,18.5,0,40227.9575,0,2901.625,0,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,40227.9575,2,650.0,0,150000.0,100.0,138.0,1
655.0,0,150000.0,100.0,3.65,0,69.0,3,0.0,0,0.0,0,2,146.0,0,128530.32666667,0,8777.2666666667,0,0.07,0,0.0,0,0.0,0,0.0,0,1.0,0,128530.32666667,2,655.0,0,150000.0,100.0,4666.0,1
432.0,3,0.0,100.0,3.06,0,13.0,3,0.0,0,0.0,0,0,60.0,0,50542.8,0,14812.8,0,0.29,0,0.0,0,0.0,0,0.0,0,1.0,0,50542.8,2,432.0,3,0.0,100.0,2828.0,2
